116.3485432,39.98348654,
116.3485452,39.98346654,
116.3485442,39.98344654,
116.3485432,39.98342654,
116.3485422,39.98340654,
116.3485412,39.98338654,1
116.3485422,39.98336654,2
116.3485442,39.98334654,3
116.3485432,39.98332654,4
116.3485422,39.98330654,5
116.348535,39.98330319,6
116.3485357,39.98328713,7
116.3485366,39.98326187,8
116.3485428,39.98324258,9
116.3485448,39.98321682,10
116.3485408,39.98320064,11
116.3485427,39.98318183,12
116.3485389,39.98315527,13
116.3485383,39.98314046,14
116.3485466,39.98311713,15
116.348541,39.98309179,16
116.3485417,39.98307194,17
116.3485489,39.98305198,18
116.3485484,39.98303072,19
116.3485494,39.9830116,20
116.348549,39.98298348,21
116.3485491,39.98296199,22
116.3485531,39.9829398,23
116.348548,39.98292351,24
116.3485501,39.98290443,25
116.3485507,39.98289756,26
116.3485422,39.9828726,27
116.3485304,39.98285553,28
116.3485133,39.98282534,29
116.3485014,39.98280102,30
116.3484908,39.98278843,31
116.3484771,39.9827646,32
116.3484662,39.98274093,33
116.3484589,39.98271082,34
116.3484557,39.98269216,35
116.3484353,39.98266499,36
116.3484347,39.98264554,37
116.348412,39.98261052,38
116.3484099,39.98258485,39
116.3483893,39.98256714,40
116.3483892,39.98255038,41
116.3483663,39.98252016,42
116.3483663,39.98252016,43
116.3483063,39.98252016,44
116.3482663,39.98252016,45
116.3482263,39.98252016,46
