116.3451565,39.98178657,1,,,"116.3451565,39.98178657"
116.3451865,39.98177657,2,,,"116.3451865,39.98177657"
116.3452165,39.98177657,3,,,"116.3452165,39.98177657"
116.3452465,39.98176657,4,,,"116.3452465,39.98176657"
116.3452765,39.98178657,5,,,"116.3452765,39.98178657"
116.3453065,39.98176657,6,,,"116.3453065,39.98176657"
116.3453365,39.98177657,7,,,"116.3453365,39.98177657"
116.3453665,39.98178657,8,,,"116.3453665,39.98178657"
116.3453965,39.98177657,9,,,"116.3453965,39.98177657"
116.3454265,39.98176657,10,,,"116.3454265,39.98176657"
116.3454384,39.98176657,20,,,"116.3454384,39.98176657"
116.3454506,39.98177826,21,,,"116.3454506,39.98177826"
116.3454575,39.98178794,22,,,"116.3454575,39.98178794"
116.3454622,39.98178561,23,,,"116.3454622,39.98178561"
116.345478,39.98178664,24,,,"116.345478,39.98178664"
116.3454867,39.98178533,25,,,"116.3454867,39.98178533"
116.3455091,39.98176687,26,,,"116.3455091,39.98176687"
116.3455377,39.98176642,27,,,"116.3455377,39.98176642"
116.3455696,39.98177431,28,,,"116.3455696,39.98177431"
116.3456016,39.98177871,29,,,"116.3456016,39.98177871"
116.3456312,39.98178109,30,,,"116.3456312,39.98178109"
116.3456539,39.98177847,31,,,"116.3456539,39.98177847"
116.3456806,39.98177502,32,,,"116.3456806,39.98177502"
116.3457037,39.98177523,33,,,"116.3457037,39.98177523"
116.3457161,39.98177475,34,,,"116.3457161,39.98177475"
116.3457269,39.98176227,35,,,"116.3457269,39.98176227"
116.3457439,39.9817628,36,,,"116.3457439,39.9817628"
116.3457607,39.98176234,37,,,"116.3457607,39.98176234"
116.34578,39.98176037,38,,,"116.34578,39.98176037"
116.3458081,39.98177309,39,,,"116.3458081,39.98177309"
116.3458345,39.98177597,40,,,"116.3458345,39.98177597"
116.3458487,39.98177633,41,,,"116.3458487,39.98177633"
116.3458642,39.98178186,42,,,"116.3458642,39.98178186"
116.3458788,39.98178306,43,,,"116.3458788,39.98178306"
116.3458788,39.98178306,44,,,"116.3458788,39.98178306"
116.3459087,39.98178911,45,,,"116.3459087,39.98178911"
116.3459257,39.98178931,46,,,"116.3459257,39.98178931"
116.3459484,39.98179185,47,,,"116.3459484,39.98179185"
116.3459678,39.98179339,48,,,"116.3459678,39.98179339"
116.3459832,39.98179408,49,,,"116.3459832,39.98179408"
116.3459982,39.98179335,,,,"116.3459982,39.98179335"
116.3460132,39.98179262,,,,"116.3460132,39.98179262"
116.3460282,39.98179189,,,,"116.3460282,39.98179189"
116.3460432,39.98179116,,,,"116.3460432,39.98179116"
116.3460582,39.98179043,,,,"116.3460582,39.98179043"
116.3460732,39.9817897,,,,"116.3460732,39.9817897"
116.3460882,39.98178897,,,,"116.3460882,39.98178897"
116.3461032,39.98178824,,,,"116.3461032,39.98178824"
116.3461182,39.98178751,,,,"116.3461182,39.98178751"
116.3461232,39.98178678,,,,"116.3461232,39.98178678"
116.3461382,39.98178605,,,,"116.3461382,39.98178605"
116.3461532,39.98178532,,,,"116.3461532,39.98178532"
116.3461682,39.98178459,,,,"116.3461682,39.98178459"
116.3461832,39.98178386,,,,"116.3461832,39.98178386"
