"116.3431408,39.98451937"
"116.3431591,39.98450974"
"116.3431778,39.9845051"
"116.3431845,39.98449795"
"116.3431854,39.98448478"
"116.3431867,39.98447212"
"116.3431865,39.98445845"
"116.3431865,39.98444412"
"116.3431843,39.98443128"
"116.3431847,39.98441995"
"116.3431847,39.98440761"
"116.3431858,39.98439512"
"116.343186,39.98438145"
"116.3431842,39.98436828"
"116.3431399,39.98431769"
"116.3431284,39.984286"
"116.3431344,39.98427168"
"116.3431429,39.9842517"
"116.3431551,39.98423738"
"116.3431726,39.98422475"
"116.3431823,39.98420243"
"116.3431763,39.98417976"
"116.3431619,39.98415173"
"116.3431364,39.98412284"
"116.3431329,39.9841155"
"116.3431375,39.98410735"
"116.3431405,39.98409885"
"116.3431419,39.98409035"
"116.3431427,39.98408052"
"116.3431447,39.98406952"
"116.3431475,39.98406053"
"116.3431479,39.98405203"
"116.3431462,39.98404136"
"116.3431459,39.98403103"
"116.343147,39.98402119"
"116.3431474,39.98401103"
"116.343149,39.98399836"
"116.3431497,39.98398753"
"116.3431512,39.98397637"
"116.3431587,39.98396471"
"116.3431607,39.98395705"
"116.3431607,39.98395055"
"116.3432,39.98392512"
"116.3432107,39.98390381"
"116.3432284,39.98388584"
"116.3432237,39.9838595"
"116.3432491,39.98381738"
"116.3432335,39.98379068"
"116.3432275,39.98376884"
"116.3432167,39.98375215"
"116.3432187,39.98373582"
"116.3432264,39.983721"
"116.3432329,39.98370418"
"116.3432392,39.98369419"
"116.3432441,39.98368453"
"116.3432412,39.98367902"
"116.3432466,39.98367353"
"116.3432399,39.98366319"
"116.343239,39.98365435"
"116.343236,39.98364518"
"116.343233,39.98363484"
"116.3432307,39.98362284"
"116.3432298,39.98360933"
"116.3432277,39.98359533"
"116.3432272,39.98357933"
"116.3432275,39.98356249"
"116.3432323,39.98354434"
"116.3432325,39.98352534"
"116.3432404,39.98350902"
"116.3432577,39.98348529"
"116.3432502,39.98348146"
"116.3432542,39.98346747"
"116.3432652,39.98345214"
"116.3432683,39.98343997"
"116.3432791,39.98340342"
"116.3432803,39.98338559"
"116.3432905,39.98336944"
"116.3432991,39.98335429"
"116.3433043,39.98333896"
"116.3433035,39.98332696"
"116.3433023,39.98331329"
"116.3433015,39.98329946"
"116.3433045,39.98328746"
"116.3433066,39.9832748"
"116.3433076,39.9832608"
"116.3433091,39.98324763"
"116.3433066,39.98323196"
"116.3433058,39.98321846"
"116.3433103,39.9832053"
"116.3433136,39.98319231"
"116.3433173,39.98317915"
"116.3433203,39.98316632"
"116.3433193,39.98315165"
"116.343313,39.98313847"
"116.3433021,39.98312678"
"116.3420152,39.98304218"
"116.3420065,39.98303483"
"116.3420242,39.98303737"
"116.3420346,39.98303455"
"116.3420533,39.98304359"
"116.3420661,39.98305461"
