"116.3520013,39.98228442"
"116.3520014,39.98229662"
"116.3519968,39.98230691"
"116.3520001,39.98231454"
"116.3519986,39.98233248"
"116.3520063,39.98234368"
"116.35201,39.98234661"
"116.3520132,39.98236497"
"116.3520116,39.98238073"
"116.3520139,39.98238486"
"116.3520098,39.98240365"
"116.3520176,39.98241902"
"116.3520183,39.98242781"
"116.3520151,39.98244396"
"116.3520086,39.98245672"
"116.352015,39.98245716"
"116.3520209,39.98247115"
"116.3520136,39.9824898"
"116.3520163,39.98249818"
"116.3520196,39.98251166"
"116.3520205,39.98252684"
"116.3520142,39.98253044"
"116.3520174,39.98254258"
"116.3520182,39.98255434"
"116.3520056,39.98255207"
"116.3519939,39.98311577"
"116.3519919,39.98309577"
"116.3519929,39.98307577"
"116.3519939,39.98305577"
"116.3519949,39.98303386"
"116.3519929,39.98301586"
"116.3519939,39.98299586"
"116.3519919,39.98297586"
"116.3519929,39.98295586"
"116.3519939,39.98293586"
"116.3519949,39.98291586"
"116.3519939,39.98289586"
"116.3519929,39.98287586"
"116.3519919,39.98285586"
"116.3519942,39.98284027"
"116.3519932,39.98281827"
"116.3519977,39.98280764"
"116.3519937,39.98278306"
"116.3519892,39.98277858"
"116.3519978,39.98275296"
"116.3519969,39.98274768"
"116.3519913,39.98272572"
"116.3520016,39.98270972"
"116.3520032,39.98270581"
"116.3519916,39.98268325"
"116.3519943,39.98267062"
"116.3519939,39.9826487"
"116.3520061,39.98264685"
"116.3519987,39.98262736"
"116.3519952,39.98260634"
"116.3519953,39.9825951"
"116.3519974,39.9825875"
"116.3520019,39.98257209"
"116.351056004175,39.9824838710717"
"116.351061563812,39.98244531122"
"116.35105203146,39.982419092889"
"116.351063618769,39.9824041546586"
"116.351056123727,39.9823735385091"
"116.351061240733,39.9823497951756"
"116.351053655137,39.9823207046568"
"116.351055398129,39.9823022013355"
"116.351058242588,39.982277865101"
"116.351075497375,39.9822510773127"
"116.351061665764,39.9822303865168"
"116.351078506476,39.9822009755594"
"116.351063587862,39.9821718506179"
"116.35106602492,39.9821588141189"
"116.351075367186,39.982132368337"
"116.351081965226,39.9821054302586"
"116.352820956681,39.9827109290188"
"116.352849180534,39.9826843115422"
"116.352839494646,39.982696628124"
"116.352834147773,39.9826802846099"
"116.352840326516,39.9826709619042"
"116.352844000157,39.9826638014908"
"116.352846003527,39.9826564714295"
"116.35284616958,39.9826488047495"
"116.352841323803,39.9826326288018"
"116.352843660927,39.9826229659075"
"116.352844160628,39.9826121330274"
"116.352844494149,39.9826079667868"
"116.352845161065,39.9825986342649"
"116.352847497174,39.9825809710464"
"116.352847494616,39.9825608035624"
"116.352844319068,39.9825444639159"
"116.352839636828,39.9825007871513"
"116.352836294783,39.9824886140426"
"116.352831449682,39.9824777716438"
"116.352825936205,39.9824647613004"
"116.352822260511,39.982455754391"
"116.35281274063,39.9824600709421"
"116.352809732507,39.9824468983867"
"116.352811732961,39.9824165673947"
"116.352824591103,39.9823945894112"
"116.352842461474,39.982384287488"
"116.352859664057,39.982376484472"
"116.352875196364,39.9823685118046"
"116.352870350948,39.9823551693074"
"116.352873689312,39.9823383412397"
"116.352879366046,39.9823216840083"
"116.352876357461,39.9823048446407"
"116.35286198972,39.9822764845852"
"116.35286198972,39.9822764845852"
