"116.351056004175,39.9824838710717"
"116.351061563812,39.98244531122"
"116.35105203146,39.982419092889"
"116.351063618769,39.9824041546586"
"116.351056123727,39.9823735385091"
"116.351061240733,39.9823497951756"
"116.351053655137,39.9823207046568"
"116.351055398129,39.9823022013355"
"116.351058242588,39.982277865101"
"116.351075497375,39.9822510773127"
"116.351061665764,39.9822303865168"
"116.351078506476,39.9822009755594"
"116.351063587862,39.9821718506179"
"116.35106602492,39.9821588141189"
"116.351075367186,39.982132368337"
"116.351081965226,39.9821054302586"
